Date,Year,DayOfYear,Daily_Spending_RM
2016-03-22,2016,82,27.11
2016-03-23,2016,83,118.71
2016-03-24,2016,84,36.56
2016-03-25,2016,85,24.12
2016-03-26,2016,86,46.64
2016-03-27,2016,87,103.11
2016-03-28,2016,88,32.64
2016-03-29,2016,89,87.9
2016-03-30,2016,90,31.9
2016-03-31,2016,91,42.91
2016-04-01,2016,92,41.67
2016-04-02,2016,93,117.38
2016-04-03,2016,94,42.71
2016-04-04,2016,95,40.15
2016-04-05,2016,96,38.57
2016-04-06,2016,97,102.85
2016-04-07,2016,98,20.06
2016-04-08,2016,99,124.2
2016-04-09,2016,100,56.22
2016-04-10,2016,101,44.9
2016-04-11,2016,102,85.37
2016-04-12,2016,103,32.18
2016-04-13,2016,104,50.47
2016-04-14,2016,105,26.02
2016-04-15,2016,106,46.04
2016-04-16,2016,107,37.53
2016-04-17,2016,108,31.98
2016-04-18,2016,109,81.05
2016-04-19,2016,110,108.11
2016-04-20,2016,111,118.43
2016-04-21,2016,112,43.57
2016-04-22,2016,113,17.95
2016-04-23,2016,114,53.87
2016-04-24,2016,115,97.64
2016-04-25,2016,116,132.35
2016-04-26,2016,117,34.67
2016-04-27,2016,118,13.25
2016-04-28,2016,119,41.98
2016-04-29,2016,120,37.7
2016-04-30,2016,121,56.16
2016-05-01,2016,122,87.59
2016-05-02,2016,123,30.02
2016-05-03,2016,124,36.76
2016-05-04,2016,125,39.03
2016-05-05,2016,126,28.62
2016-05-06,2016,127,53.09
2016-05-07,2016,128,48.25
2016-05-08,2016,129,40.67
2016-05-09,2016,130,20.86
2016-05-10,2016,131,49.74
2016-05-11,2016,132,29.61
2016-05-12,2016,133,89.4
2016-05-13,2016,134,42.07
2016-05-14,2016,135,77.68
2016-05-15,2016,136,51.22
2016-05-16,2016,137,22.61
2016-05-17,2016,138,46.43
2016-05-18,2016,139,31.75
2016-05-19,2016,140,79.05
2016-05-20,2016,141,69.73
2016-05-21,2016,142,55.06
2016-05-22,2016,143,55.61
2016-05-23,2016,144,26.62
2016-05-24,2016,145,39.74
2016-05-25,2016,146,25.31
2016-05-26,2016,147,43.34
2016-05-27,2016,148,83.01
2016-05-28,2016,149,59.91
2016-05-29,2016,150,85.26
2016-05-30,2016,151,85.73
2016-05-31,2016,152,30.73
2016-06-01,2016,153,31.3
2016-06-02,2016,154,89.52
2016-06-03,2016,155,26.0
2016-06-04,2016,156,29.61
2016-06-05,2016,157,103.12
2016-06-06,2016,158,20.21
2016-06-07,2016,159,67.36
2016-06-08,2016,160,79.07
2016-06-09,2016,161,19.74
2016-06-10,2016,162,21.01
2016-06-11,2016,163,31.46
2016-06-12,2016,164,44.29
2016-06-13,2016,165,26.29
2016-06-14,2016,166,12.83
2016-06-15,2016,167,24.85
2016-06-16,2016,168,16.73
2016-06-17,2016,169,24.81
2016-06-18,2016,170,30.84
2016-06-19,2016,171,43.66
2016-06-20,2016,172,23.6
2016-06-21,2016,173,22.56
2016-06-22,2016,174,19.35
2016-06-23,2016,175,37.72
2016-06-24,2016,176,14.74
2016-06-25,2016,177,19.65
2016-06-26,2016,178,73.02
2016-06-27,2016,179,25.65
2016-06-28,2016,180,30.82
2016-06-29,2016,181,66.07
2016-06-30,2016,182,65.15
2016-07-01,2016,183,27.63
2016-07-02,2016,184,70.45
2016-07-03,2016,185,35.38
2016-07-04,2016,186,22.95
2016-07-05,2016,187,29.64
2016-07-06,2016,188,23.61
2016-07-07,2016,189,68.36
2016-07-08,2016,190,13.95
2016-07-09,2016,191,36.45
2016-07-10,2016,192,26.83
2016-07-11,2016,193,13.33
2016-07-12,2016,194,99.98
2016-07-13,2016,195,71.83
2016-07-14,2016,196,26.91
2016-07-15,2016,197,20.63
2016-07-16,2016,198,77.63
2016-07-17,2016,199,116.62
2016-07-18,2016,200,26.1
2016-07-19,2016,201,15.74
2016-07-20,2016,202,10.97
2016-07-21,2016,203,30.6
2016-07-22,2016,204,36.91
2016-07-23,2016,205,103.74
2016-07-24,2016,206,27.75
2016-07-25,2016,207,85.45
2016-07-26,2016,208,14.65
2016-07-27,2016,209,26.68
2016-07-28,2016,210,87.67
2016-07-29,2016,211,10.29
2016-07-30,2016,212,26.27
2016-07-31,2016,213,57.6
2016-08-01,2016,214,90.94
2016-08-02,2016,215,72.11
2016-08-03,2016,216,27.6
2016-08-04,2016,217,32.85
2016-08-05,2016,218,28.91
2016-08-06,2016,219,11.74
2016-08-07,2016,220,51.04
2016-08-08,2016,221,27.62
2016-08-09,2016,222,74.4
2016-08-10,2016,223,27.58
2016-08-11,2016,224,32.17
2016-08-12,2016,225,93.99
2016-08-13,2016,226,32.53
2016-08-14,2016,227,38.47
2016-08-15,2016,228,40.47
2016-08-16,2016,229,107.7
2016-08-17,2016,230,11.61
2016-08-18,2016,231,84.78
2016-08-19,2016,232,26.38
2016-08-20,2016,233,43.34
2016-08-21,2016,234,43.56
2016-08-22,2016,235,116.19
2016-08-23,2016,236,24.87
2016-08-24,2016,237,74.64
2016-08-25,2016,238,46.72
2016-08-26,2016,239,40.96
2016-08-27,2016,240,122.03
2016-08-28,2016,241,41.52
2016-08-29,2016,242,30.3
2016-08-30,2016,243,78.96
2016-08-31,2016,244,73.41
2016-09-01,2016,245,29.65
2016-09-02,2016,246,34.12
2016-09-03,2016,247,49.54
2016-09-04,2016,248,61.9
2016-09-05,2016,249,114.77
2016-09-06,2016,250,112.39
2016-09-07,2016,251,35.09
2016-09-08,2016,252,50.83
2016-09-09,2016,253,47.9
2016-09-10,2016,254,57.6
2016-09-11,2016,255,56.29
2016-09-12,2016,256,40.16
2016-09-13,2016,257,78.68
2016-09-14,2016,258,33.59
2016-09-15,2016,259,36.86
2016-09-16,2016,260,38.02
2016-09-17,2016,261,55.19
2016-09-18,2016,262,34.93
2016-09-19,2016,263,46.75
2016-09-20,2016,264,28.19
2016-09-21,2016,265,39.34
2016-09-22,2016,266,38.27
2016-09-23,2016,267,115.55
2016-09-24,2016,268,53.12
2016-09-25,2016,269,67.41
2016-09-26,2016,270,41.2
2016-09-27,2016,271,104.71
2016-09-28,2016,272,34.49
2016-09-29,2016,273,38.65
2016-09-30,2016,274,22.63
2016-10-01,2016,275,51.6
2016-10-02,2016,276,49.21
2016-10-03,2016,277,37.67
2016-10-04,2016,278,41.12
2016-10-05,2016,279,33.59
2016-10-06,2016,280,10.94
2016-10-07,2016,281,28.34
2016-10-08,2016,282,36.79
2016-10-09,2016,283,111.74
2016-10-10,2016,284,27.3
2016-10-11,2016,285,40.62
2016-10-12,2016,286,35.4
2016-10-13,2016,287,28.76
2016-10-14,2016,288,81.44
2016-10-15,2016,289,120.11
2016-10-16,2016,290,108.7
2016-10-17,2016,291,42.11
2016-10-18,2016,292,38.63
2016-10-19,2016,293,107.97
2016-10-20,2016,294,39.07
2016-10-21,2016,295,41.99
2016-10-22,2016,296,47.94
2016-10-23,2016,297,108.53
2016-10-24,2016,298,106.08
2016-10-25,2016,299,35.89
2016-10-26,2016,300,111.46
2016-10-27,2016,301,36.56
2016-10-28,2016,302,27.46
2016-10-29,2016,303,113.9
2016-10-30,2016,304,41.46
2016-10-31,2016,305,44.23
2016-11-01,2016,306,44.02
2016-11-02,2016,307,112.92
2016-11-03,2016,308,40.3
2016-11-04,2016,309,120.21
2016-11-05,2016,310,40.01
2016-11-06,2016,311,124.79
2016-11-07,2016,312,76.66
2016-11-08,2016,313,117.92
2016-11-09,2016,314,116.28
2016-11-10,2016,315,111.92
2016-11-11,2016,316,42.4
2016-11-12,2016,317,46.28
2016-11-13,2016,318,44.85
2016-11-14,2016,319,43.42
2016-11-15,2016,320,32.79
2016-11-16,2016,321,74.44
2016-11-17,2016,322,27.9
2016-11-18,2016,323,66.84
2016-11-19,2016,324,61.88
2016-11-20,2016,325,50.43
2016-11-21,2016,326,72.87
2016-11-22,2016,327,33.62
2016-11-23,2016,328,38.38
2016-11-24,2016,329,30.28
2016-11-25,2016,330,99.01
2016-11-26,2016,331,62.02
2016-11-27,2016,332,98.65
2016-11-28,2016,333,36.24
2016-11-29,2016,334,111.24
2016-11-30,2016,335,70.97
2016-12-01,2016,336,77.4
2016-12-02,2016,337,24.9
2016-12-03,2016,338,30.07
2016-12-04,2016,339,34.58
2016-12-05,2016,340,79.95
2016-12-06,2016,341,24.06
2016-12-07,2016,342,27.18
2016-12-08,2016,343,14.85
2016-12-09,2016,344,22.08
2016-12-10,2016,345,35.72
2016-12-11,2016,346,72.78
2016-12-12,2016,347,21.08
2016-12-13,2016,348,18.27
2016-12-14,2016,349,33.95
2016-12-15,2016,350,99.97
2016-12-16,2016,351,16.42
2016-12-17,2016,352,99.1
2016-12-18,2016,353,51.89
2016-12-19,2016,354,26.32
2016-12-20,2016,355,56.07
2016-12-21,2016,356,103.85
2016-12-22,2016,357,60.79
2016-12-23,2016,358,59.93
2016-12-24,2016,359,108.25
2016-12-25,2016,360,64.23
2016-12-26,2016,361,19.01
2016-12-27,2016,362,69.37
2016-12-28,2016,363,17.24
2016-12-29,2016,364,95.35
2016-12-30,2016,365,22.74
