Date,Year,DayOfYear,Daily_Spending_RM
2016-03-04,2016,64,27.66
2016-03-05,2016,65,119.49
2016-03-06,2016,66,56.68
2016-03-07,2016,67,39.33
2016-03-08,2016,68,23.74
2016-03-09,2016,69,47.47
2016-03-10,2016,70,80.36
2016-03-11,2016,71,22.59
2016-03-12,2016,72,46.64
2016-03-13,2016,73,50.52
2016-03-14,2016,74,15.44
2016-03-15,2016,75,46.03
2016-03-16,2016,76,39.53
2016-03-17,2016,77,74.84
2016-03-18,2016,78,76.23
2016-03-19,2016,79,126.56
2016-03-20,2016,80,127.77
2016-03-21,2016,81,80.42
2016-03-22,2016,82,27.11
2016-03-23,2016,83,43.71
2016-03-24,2016,84,36.56
2016-03-25,2016,85,99.12
2016-03-26,2016,86,40.67
2016-03-27,2016,87,51.26
2016-03-28,2016,88,32.64
2016-03-29,2016,89,87.9
2016-03-30,2016,90,31.9
2016-03-31,2016,91,117.91
2016-04-01,2016,92,41.67
2016-04-02,2016,93,114.42
2016-04-03,2016,94,84.98
2016-04-04,2016,95,115.15
2016-04-05,2016,96,113.57
2016-04-06,2016,97,27.85
2016-04-07,2016,98,65.06
2016-04-08,2016,99,94.2
2016-04-09,2016,100,61.97
2016-04-10,2016,101,95.4
2016-04-11,2016,102,40.37
2016-04-12,2016,103,32.18
2016-04-13,2016,104,50.47
2016-04-14,2016,105,71.02
2016-04-15,2016,106,121.04
2016-04-16,2016,107,41.37
2016-04-17,2016,108,33.7
2016-04-18,2016,109,111.05
2016-04-19,2016,110,78.11
2016-04-20,2016,111,118.43
2016-04-21,2016,112,43.57
2016-04-22,2016,113,92.95
2016-04-23,2016,114,60.09
2016-04-24,2016,115,101.43
2016-04-25,2016,116,57.35
2016-04-26,2016,117,34.67
2016-04-27,2016,118,13.25
2016-04-28,2016,119,116.98
2016-04-29,2016,120,82.7
2016-04-30,2016,121,49.7
2016-05-01,2016,122,43.47
2016-05-02,2016,123,30.02
2016-05-03,2016,124,36.76
2016-05-04,2016,125,84.03
2016-05-05,2016,126,28.62
2016-05-06,2016,127,53.09
2016-05-07,2016,128,46.61
2016-05-08,2016,129,42.17
2016-05-09,2016,130,20.86
2016-05-10,2016,131,49.74
2016-05-11,2016,132,29.61
2016-05-12,2016,133,44.4
2016-05-13,2016,134,42.07
2016-05-14,2016,135,34.23
2016-05-15,2016,136,48.21
2016-05-16,2016,137,22.61
2016-05-17,2016,138,121.43
2016-05-18,2016,139,76.75
2016-05-19,2016,140,34.05
2016-05-20,2016,141,69.73
2016-05-21,2016,142,50.46
2016-05-22,2016,143,61.97
2016-05-23,2016,144,71.62
2016-05-24,2016,145,39.74
2016-05-25,2016,146,100.31
2016-05-26,2016,147,43.34
2016-05-27,2016,148,38.01
2016-05-28,2016,149,48.18
2016-05-29,2016,150,50.87
2016-05-30,2016,151,40.73
2016-05-31,2016,152,30.73
2016-06-01,2016,153,31.3
2016-06-02,2016,154,14.52
2016-06-03,2016,155,26.0
2016-06-04,2016,156,34.83
2016-06-05,2016,157,30.16
2016-06-06,2016,158,20.21
2016-06-07,2016,159,22.36
2016-06-08,2016,160,34.07
2016-06-09,2016,161,19.74
2016-06-10,2016,162,96.01
2016-06-11,2016,163,74.11
2016-06-12,2016,164,119.91
2016-06-13,2016,165,71.29
2016-06-14,2016,166,87.83
2016-06-15,2016,167,24.85
2016-06-16,2016,168,91.73
2016-06-17,2016,169,69.81
2016-06-18,2016,170,33.27
2016-06-19,2016,171,86.62
2016-06-20,2016,172,23.6
2016-06-21,2016,173,22.56
2016-06-22,2016,174,19.35
2016-06-23,2016,175,37.72
2016-06-24,2016,176,89.74
2016-06-25,2016,177,15.65
2016-06-26,2016,178,27.08
2016-06-27,2016,179,25.65
2016-06-28,2016,180,30.82
2016-06-29,2016,181,21.07
2016-06-30,2016,182,65.15
2016-07-01,2016,183,27.63
2016-07-02,2016,184,24.16
2016-07-03,2016,185,82.23
2016-07-04,2016,186,22.95
2016-07-05,2016,187,29.64
2016-07-06,2016,188,68.61
2016-07-07,2016,189,23.36
2016-07-08,2016,190,88.95
2016-07-09,2016,191,86.77
2016-07-10,2016,192,27.0
2016-07-11,2016,193,13.33
2016-07-12,2016,194,24.98
2016-07-13,2016,195,26.83
2016-07-14,2016,196,26.91
2016-07-15,2016,197,65.63
2016-07-16,2016,198,76.48
2016-07-17,2016,199,39.72
2016-07-18,2016,200,26.1
2016-07-19,2016,201,15.74
2016-07-20,2016,202,10.97
2016-07-21,2016,203,30.6
2016-07-22,2016,204,81.91
2016-07-23,2016,205,31.01
2016-07-24,2016,206,24.02
2016-07-25,2016,207,55.45
2016-07-26,2016,208,14.65
2016-07-27,2016,209,26.68
2016-07-28,2016,210,57.67
2016-07-29,2016,211,10.29
2016-07-30,2016,212,22.7
2016-07-31,2016,213,73.72
2016-08-01,2016,214,15.94
2016-08-02,2016,215,27.11
2016-08-03,2016,216,27.6
2016-08-04,2016,217,32.85
2016-08-05,2016,218,28.91
2016-08-06,2016,219,23.17
2016-08-07,2016,220,50.76
2016-08-08,2016,221,27.62
2016-08-09,2016,222,29.4
2016-08-10,2016,223,72.58
2016-08-11,2016,224,107.17
2016-08-12,2016,225,18.99
2016-08-13,2016,226,34.73
2016-08-14,2016,227,42.38
2016-08-15,2016,228,40.47
2016-08-16,2016,229,32.7
2016-08-17,2016,230,11.61
2016-08-18,2016,231,39.78
2016-08-19,2016,232,26.38
2016-08-20,2016,233,117.77
2016-08-21,2016,234,43.58
2016-08-22,2016,235,116.19
2016-08-23,2016,236,24.87
2016-08-24,2016,237,104.64
2016-08-25,2016,238,46.72
2016-08-26,2016,239,115.96
2016-08-27,2016,240,59.09
2016-08-28,2016,241,120.09
2016-08-29,2016,242,105.3
2016-08-30,2016,243,33.96
2016-08-31,2016,244,73.41
2016-09-01,2016,245,74.65
2016-09-02,2016,246,34.12
2016-09-03,2016,247,92.69
2016-09-04,2016,248,58.47
2016-09-05,2016,249,39.77
2016-09-06,2016,250,37.39
2016-09-07,2016,251,35.09
2016-09-08,2016,252,50.83
2016-09-09,2016,253,47.9
2016-09-10,2016,254,98.52
2016-09-11,2016,255,49.86
2016-09-12,2016,256,40.16
2016-09-13,2016,257,33.68
2016-09-14,2016,258,108.59
2016-09-15,2016,259,36.86
2016-09-16,2016,260,38.02
2016-09-17,2016,261,97.8
2016-09-18,2016,262,37.41
2016-09-19,2016,263,46.75
2016-09-20,2016,264,28.19
2016-09-21,2016,265,39.34
2016-09-22,2016,266,113.27
2016-09-23,2016,267,40.55
2016-09-24,2016,268,44.14
2016-09-25,2016,269,73.54
2016-09-26,2016,270,41.2
2016-09-27,2016,271,29.71
2016-09-28,2016,272,34.49
2016-09-29,2016,273,38.65
2016-09-30,2016,274,67.63
2016-10-01,2016,275,46.5
2016-10-02,2016,276,41.98
2016-10-03,2016,277,37.67
2016-10-04,2016,278,41.12
2016-10-05,2016,279,108.59
2016-10-06,2016,280,55.94
2016-10-07,2016,281,73.34
2016-10-08,2016,282,44.94
2016-10-09,2016,283,132.04
2016-10-10,2016,284,27.3
2016-10-11,2016,285,40.62
2016-10-12,2016,286,80.4
2016-10-13,2016,287,28.76
2016-10-14,2016,288,36.44
2016-10-15,2016,289,38.47
2016-10-16,2016,290,59.6
2016-10-17,2016,291,42.11
2016-10-18,2016,292,38.63
2016-10-19,2016,293,32.97
2016-10-20,2016,294,39.07
2016-10-21,2016,295,41.99
2016-10-22,2016,296,51.9
2016-10-23,2016,297,137.72
2016-10-24,2016,298,106.08
2016-10-25,2016,299,35.89
2016-10-26,2016,300,36.46
2016-10-27,2016,301,36.56
2016-10-28,2016,302,27.46
2016-10-29,2016,303,121.4
2016-10-30,2016,304,90.39
2016-10-31,2016,305,119.23
2016-11-01,2016,306,119.02
2016-11-02,2016,307,112.92
2016-11-03,2016,308,40.3
2016-11-04,2016,309,45.21
2016-11-05,2016,310,42.1
2016-11-06,2016,311,52.71
2016-11-07,2016,312,31.66
2016-11-08,2016,313,42.92
2016-11-09,2016,314,41.28
2016-11-10,2016,315,111.92
2016-11-11,2016,316,117.4
2016-11-12,2016,317,51.48
2016-11-13,2016,318,53.09
2016-11-14,2016,319,43.42
2016-11-15,2016,320,77.79
2016-11-16,2016,321,29.44
2016-11-17,2016,322,27.9
2016-11-18,2016,323,21.84
2016-11-19,2016,324,111.15
2016-11-20,2016,325,49.69
2016-11-21,2016,326,72.87
2016-11-22,2016,327,33.62
2016-11-23,2016,328,38.38
2016-11-24,2016,329,105.28
2016-11-25,2016,330,54.01
2016-11-26,2016,331,57.17
2016-11-27,2016,332,97.75
2016-11-28,2016,333,111.24
2016-11-29,2016,334,36.24
2016-11-30,2016,335,25.97
2016-12-01,2016,336,32.4
2016-12-02,2016,337,24.9
2016-12-03,2016,338,80.65
2016-12-04,2016,339,37.82
2016-12-05,2016,340,34.95
2016-12-06,2016,341,99.06
2016-12-07,2016,342,27.18
2016-12-08,2016,343,59.85
2016-12-09,2016,344,97.08
2016-12-10,2016,345,31.9
2016-12-11,2016,346,14.06
2016-12-12,2016,347,21.08
2016-12-13,2016,348,18.27
2016-12-14,2016,349,108.95
2016-12-15,2016,350,24.97
2016-12-16,2016,351,91.42
2016-12-17,2016,352,22.68
2016-12-18,2016,353,51.96
2016-12-19,2016,354,26.32
2016-12-20,2016,355,86.07
2016-12-21,2016,356,28.85
2016-12-22,2016,357,15.79
2016-12-23,2016,358,14.93
2016-12-24,2016,359,27.11
2016-12-25,2016,360,26.09
2016-12-26,2016,361,19.01
2016-12-27,2016,362,24.37
2016-12-28,2016,363,92.24
2016-12-29,2016,364,20.35
2016-12-30,2016,365,22.74
2016-12-31,2016,366,62.82
2017-01-01,2017,1,79.8
2017-01-02,2017,2,96.31
2017-01-03,2017,3,105.68
2017-01-04,2017,4,82.79
2017-01-05,2017,5,22.65
2017-01-06,2017,6,33.77
2017-01-07,2017,7,32.88
2017-01-08,2017,8,28.61
2017-01-09,2017,9,21.12
2017-01-10,2017,10,26.16
2017-01-11,2017,11,73.08
2017-01-12,2017,12,100.92
2017-01-13,2017,13,99.39
2017-01-14,2017,14,121.86
2017-01-15,2017,15,49.64
2017-01-16,2017,16,24.09
2017-01-17,2017,17,30.16
2017-01-18,2017,18,23.61
2017-01-19,2017,19,44.23
2017-01-20,2017,20,40.25
2017-01-21,2017,21,108.74
2017-01-22,2017,22,29.57
2017-01-23,2017,23,108.68
2017-01-24,2017,24,26.01
2017-01-25,2017,25,69.96
2017-01-26,2017,26,21.5
2017-01-27,2017,27,115.46
2017-01-28,2017,28,23.32
2017-01-29,2017,29,39.04
2017-01-30,2017,30,37.75
2017-01-31,2017,31,26.39
2017-02-01,2017,32,26.4
2017-02-02,2017,33,35.59
2017-02-03,2017,34,120.2
2017-02-04,2017,35,91.77
2017-02-05,2017,36,55.96
2017-02-06,2017,37,115.95
2017-02-07,2017,38,26.41
2017-02-08,2017,39,34.75
2017-02-09,2017,40,26.5
2017-02-10,2017,41,121.39
2017-02-11,2017,42,99.12
2017-02-12,2017,43,24.89
2017-02-13,2017,44,42.75
2017-02-14,2017,45,81.49
2017-02-15,2017,46,88.36
2017-02-16,2017,47,68.0
2017-02-17,2017,48,39.8
2017-02-18,2017,49,43.94
2017-02-19,2017,50,52.97
2017-02-20,2017,51,85.71
2017-02-21,2017,52,36.34
2017-02-22,2017,53,36.92
2017-02-23,2017,54,35.47
2017-02-24,2017,55,30.34
2017-02-25,2017,56,138.91
2017-02-26,2017,57,132.48
2017-02-27,2017,58,32.59
2017-02-28,2017,59,34.95
2017-03-01,2017,60,109.74
2017-03-02,2017,61,51.9
2017-03-03,2017,62,82.03
2017-03-04,2017,63,116.48
2017-03-05,2017,64,49.7
2017-03-06,2017,65,20.46
2017-03-07,2017,66,24.63
2017-03-08,2017,67,111.37
2017-03-09,2017,68,27.23
2017-03-10,2017,69,31.95
2017-03-11,2017,70,40.9
2017-03-12,2017,71,49.32
2017-03-13,2017,72,105.64
2017-03-14,2017,73,102.81
2017-03-15,2017,74,105.45
2017-03-16,2017,75,28.31
2017-03-17,2017,76,85.66
2017-03-18,2017,77,41.9
2017-03-19,2017,78,49.31
2017-03-20,2017,79,109.46
2017-03-21,2017,80,117.43
2017-03-22,2017,81,39.67
2017-03-23,2017,82,85.85
2017-03-24,2017,83,23.76
2017-03-25,2017,84,106.78
2017-03-26,2017,85,61.27
2017-03-27,2017,86,116.43
2017-03-28,2017,87,91.44
2017-03-29,2017,88,101.25
2017-03-30,2017,89,81.2
2017-03-31,2017,90,103.52
2017-04-01,2017,91,102.13
2017-04-02,2017,92,89.56
2017-04-03,2017,93,37.98
2017-04-04,2017,94,48.2
2017-04-05,2017,95,45.72
2017-04-06,2017,96,106.73
2017-04-07,2017,97,37.02
2017-04-08,2017,98,53.71
2017-04-09,2017,99,56.45
2017-04-10,2017,100,29.27
2017-04-11,2017,101,39.33
2017-04-12,2017,102,43.99
2017-04-13,2017,103,34.13
2017-04-14,2017,104,113.13
2017-04-15,2017,105,114.0
2017-04-16,2017,106,46.11
2017-04-17,2017,107,27.18
2017-04-18,2017,108,80.96
2017-04-19,2017,109,34.02
2017-04-20,2017,110,34.6
2017-04-21,2017,111,37.02
2017-04-22,2017,112,133.0
2017-04-23,2017,113,42.0
2017-04-24,2017,114,79.01
2017-04-25,2017,115,37.02
2017-04-26,2017,116,33.99
2017-04-27,2017,117,26.72
2017-04-28,2017,118,85.33
2017-04-29,2017,119,41.92
2017-04-30,2017,120,51.89
2017-05-01,2017,121,28.57
2017-05-02,2017,122,42.54
2017-05-03,2017,123,30.2
2017-05-04,2017,124,122.01
2017-05-05,2017,125,84.7
2017-05-06,2017,126,39.78
2017-05-07,2017,127,112.84
2017-05-08,2017,128,74.2
2017-05-09,2017,129,35.32
2017-05-10,2017,130,91.79
2017-05-11,2017,131,32.94
2017-05-12,2017,132,47.41
2017-05-13,2017,133,88.56
2017-05-14,2017,134,34.98
2017-05-15,2017,135,46.53
2017-05-16,2017,136,43.8
2017-05-17,2017,137,36.17
2017-05-18,2017,138,116.84
2017-05-19,2017,139,29.32
2017-05-20,2017,140,46.23
2017-05-21,2017,141,58.12
2017-05-22,2017,142,117.63
2017-05-23,2017,143,88.74
2017-05-24,2017,144,41.65
2017-05-25,2017,145,47.14
2017-05-26,2017,146,69.5
2017-05-27,2017,147,56.83
2017-05-28,2017,148,65.24
2017-05-29,2017,149,21.61
2017-05-30,2017,150,41.98
2017-05-31,2017,151,50.34
2017-06-01,2017,152,34.01
2017-06-02,2017,153,15.95
2017-06-03,2017,154,47.67
2017-06-04,2017,155,23.99
2017-06-05,2017,156,15.63
2017-06-06,2017,157,15.35
2017-06-07,2017,158,26.43
2017-06-08,2017,159,14.1
2017-06-09,2017,160,34.56
2017-06-10,2017,161,56.24
2017-06-11,2017,162,86.64
2017-06-12,2017,163,65.16
2017-06-13,2017,164,60.7
2017-06-14,2017,165,80.89
2017-06-15,2017,166,10.06
2017-06-16,2017,167,102.69
2017-06-17,2017,168,28.8
2017-06-18,2017,169,33.91
2017-06-19,2017,170,27.27
2017-06-20,2017,171,20.28
2017-06-21,2017,172,91.93
2017-06-22,2017,173,29.78
2017-06-23,2017,174,26.99
2017-06-24,2017,175,19.09
2017-06-25,2017,176,76.56
2017-06-26,2017,177,31.14
2017-06-27,2017,178,18.51
2017-06-28,2017,179,22.54
2017-06-29,2017,180,44.03
2017-06-30,2017,181,20.71
2017-07-01,2017,182,112.18
2017-07-02,2017,183,80.55
2017-07-03,2017,184,13.75
2017-07-04,2017,185,73.06
2017-07-05,2017,186,24.59
2017-07-06,2017,187,61.34
2017-07-07,2017,188,107.26
2017-07-08,2017,189,103.74
2017-07-09,2017,190,23.39
2017-07-10,2017,191,17.57
2017-07-11,2017,192,29.3
2017-07-12,2017,193,21.55
2017-07-13,2017,194,30.89
2017-07-14,2017,195,25.16
2017-07-15,2017,196,52.99
2017-07-16,2017,197,42.71
2017-07-17,2017,198,98.37
2017-07-18,2017,199,103.74
2017-07-19,2017,200,22.09
2017-07-20,2017,201,12.09
2017-07-21,2017,202,12.82
2017-07-22,2017,203,26.78
2017-07-23,2017,204,27.8
2017-07-24,2017,205,74.26
2017-07-25,2017,206,99.91
2017-07-26,2017,207,62.38
2017-07-27,2017,208,92.45
2017-07-28,2017,209,79.95
2017-07-29,2017,210,41.9
2017-07-30,2017,211,36.38
2017-07-31,2017,212,79.98
2017-08-01,2017,213,35.93
2017-08-02,2017,214,28.36
2017-08-03,2017,215,34.15
2017-08-04,2017,216,66.53
2017-08-05,2017,217,34.45
2017-08-06,2017,218,103.81
2017-08-07,2017,219,27.35
2017-08-08,2017,220,32.28
2017-08-09,2017,221,28.89
2017-08-10,2017,222,77.75
2017-08-11,2017,223,68.0
2017-08-12,2017,224,39.1
2017-08-13,2017,225,34.13
2017-08-14,2017,226,17.79
2017-08-15,2017,227,113.95
2017-08-16,2017,228,20.97
2017-08-17,2017,229,39.25
2017-08-18,2017,230,23.52
2017-08-19,2017,231,53.91
2017-08-20,2017,232,41.58
2017-08-21,2017,233,29.42
2017-08-22,2017,234,27.72
2017-08-23,2017,235,94.38
2017-08-24,2017,236,24.88
2017-08-25,2017,237,72.76
2017-08-26,2017,238,37.95
2017-08-27,2017,239,37.64
2017-08-28,2017,240,27.26
2017-08-29,2017,241,38.2
2017-08-30,2017,242,19.13
2017-08-31,2017,243,77.05
2017-09-01,2017,244,30.92
2017-09-02,2017,245,51.51
2017-09-03,2017,246,46.59
2017-09-04,2017,247,49.06
2017-09-05,2017,248,49.93
2017-09-06,2017,249,23.11
2017-09-07,2017,250,84.05
2017-09-08,2017,251,73.63
2017-09-09,2017,252,41.77
2017-09-10,2017,253,49.26
2017-09-11,2017,254,116.3
2017-09-12,2017,255,39.3
2017-09-13,2017,256,82.04
2017-09-14,2017,257,93.47
2017-09-15,2017,258,40.35
2017-09-16,2017,259,89.23
2017-09-17,2017,260,48.9
2017-09-18,2017,261,22.13
2017-09-19,2017,262,40.43
2017-09-20,2017,263,78.47
2017-09-21,2017,264,39.65
2017-09-22,2017,265,77.55
2017-09-23,2017,266,39.91
2017-09-24,2017,267,127.09
2017-09-25,2017,268,33.75
2017-09-26,2017,269,113.41
2017-09-27,2017,270,84.18
2017-09-28,2017,271,88.56
2017-09-29,2017,272,24.5
2017-09-30,2017,273,128.74
2017-10-01,2017,274,46.9
2017-10-02,2017,275,37.61
2017-10-03,2017,276,38.15
2017-10-04,2017,277,90.06
2017-10-05,2017,278,27.05
2017-10-06,2017,279,36.32
2017-10-07,2017,280,37.42
2017-10-08,2017,281,31.93
2017-10-09,2017,282,92.37
2017-10-10,2017,283,25.9
2017-10-11,2017,284,48.19
2017-10-12,2017,285,35.11
2017-10-13,2017,286,40.63
2017-10-14,2017,287,82.54
2017-10-15,2017,288,87.92
2017-10-16,2017,289,88.86
2017-10-17,2017,290,71.41
2017-10-18,2017,291,114.02
2017-10-19,2017,292,84.02
2017-10-20,2017,293,115.99
2017-10-21,2017,294,46.53
2017-10-22,2017,295,35.63
2017-10-23,2017,296,130.45
2017-10-24,2017,297,117.51
2017-10-25,2017,298,27.96
2017-10-26,2017,299,106.03
2017-10-27,2017,300,93.71
2017-10-28,2017,301,113.58
2017-10-29,2017,302,31.88
2017-10-30,2017,303,40.8
2017-10-31,2017,304,112.56
2017-11-01,2017,305,86.36
2017-11-02,2017,306,21.18
2017-11-03,2017,307,31.52
2017-11-04,2017,308,45.43
2017-11-05,2017,309,49.21
2017-11-06,2017,310,27.78
2017-11-07,2017,311,31.58
2017-11-08,2017,312,35.59
2017-11-09,2017,313,81.15
2017-11-10,2017,314,77.45
2017-11-11,2017,315,63.1
2017-11-12,2017,316,88.24
2017-11-13,2017,317,22.6
2017-11-14,2017,318,50.45
2017-11-15,2017,319,27.05
2017-11-16,2017,320,77.32
2017-11-17,2017,321,32.07
2017-11-18,2017,322,121.79
2017-11-19,2017,323,138.23
2017-11-20,2017,324,42.57
2017-11-21,2017,325,34.4
2017-11-22,2017,326,38.08
2017-11-23,2017,327,16.85
2017-11-24,2017,328,93.46
2017-11-25,2017,329,75.25
2017-11-26,2017,330,136.58
2017-11-27,2017,331,82.52
2017-11-28,2017,332,105.64
2017-11-29,2017,333,83.58
2017-11-30,2017,334,31.7
2017-12-01,2017,335,25.45
2017-12-02,2017,336,16.4
2017-12-03,2017,337,18.99
2017-12-04,2017,338,94.82
2017-12-05,2017,339,13.73
2017-12-06,2017,340,100.3
2017-12-07,2017,341,31.2
2017-12-08,2017,342,22.26
2017-12-09,2017,343,41.39
2017-12-10,2017,344,87.35
2017-12-11,2017,345,36.1
2017-12-12,2017,346,10.79
2017-12-13,2017,347,12.02
2017-12-14,2017,348,23.67
2017-12-15,2017,349,22.31
2017-12-16,2017,350,31.54
2017-12-17,2017,351,31.97
2017-12-18,2017,352,28.77
2017-12-19,2017,353,29.65
2017-12-20,2017,354,11.17
2017-12-21,2017,355,19.18
2017-12-22,2017,356,66.09
2017-12-23,2017,357,33.63
2017-12-24,2017,358,115.37
2017-12-25,2017,359,85.69
2017-12-26,2017,360,24.03
2017-12-27,2017,361,61.83
2017-12-28,2017,362,18.82
2017-12-29,2017,363,16.42
2017-12-30,2017,364,17.31
2017-12-31,2017,365,29.27
2018-01-01,2018,1,25.18
2018-01-02,2018,2,108.61
2018-01-03,2018,3,98.69
2018-01-04,2018,4,112.19
2018-01-05,2018,5,20.23
2018-01-06,2018,6,35.49
2018-01-07,2018,7,32.75
2018-01-08,2018,8,36.88
2018-01-09,2018,9,69.38
2018-01-10,2018,10,18.22
2018-01-11,2018,11,77.48
2018-01-12,2018,12,106.02
2018-01-13,2018,13,38.23
2018-01-14,2018,14,31.12
2018-01-15,2018,15,56.02
2018-01-16,2018,16,31.03
2018-01-17,2018,17,95.72
2018-01-18,2018,18,34.06
2018-01-19,2018,19,71.96
2018-01-20,2018,20,29.66
2018-01-21,2018,21,76.51
2018-01-22,2018,22,73.22
2018-01-23,2018,23,94.14
2018-01-24,2018,24,22.18
2018-01-25,2018,25,19.57
2018-01-26,2018,26,15.2
2018-01-27,2018,27,35.4
2018-01-28,2018,28,41.14
2018-01-29,2018,29,23.12
2018-01-30,2018,30,122.76
2018-01-31,2018,31,71.78
2018-02-01,2018,32,20.03
2018-02-02,2018,33,78.69
2018-02-03,2018,34,136.72
2018-02-04,2018,35,37.53
2018-02-05,2018,36,41.8
2018-02-06,2018,37,42.03
2018-02-07,2018,38,24.46
2018-02-08,2018,39,83.81
2018-02-09,2018,40,36.54
2018-02-10,2018,41,55.28
2018-02-11,2018,42,108.06
2018-02-12,2018,43,120.87
2018-02-13,2018,44,110.55
2018-02-14,2018,45,39.63
2018-02-15,2018,46,39.08
2018-02-16,2018,47,73.92
2018-02-17,2018,48,52.45
2018-02-18,2018,49,60.73
2018-02-19,2018,50,84.01
2018-02-20,2018,51,34.58
2018-02-21,2018,52,54.7
2018-02-22,2018,53,44.45
2018-02-23,2018,54,80.23
2018-02-24,2018,55,105.02
2018-02-25,2018,56,54.25
2018-02-26,2018,57,39.23
2018-02-27,2018,58,89.89
2018-02-28,2018,59,48.42
2018-03-01,2018,60,74.71
2018-03-02,2018,61,72.68
2018-03-03,2018,62,34.27
2018-03-04,2018,63,47.05
2018-03-05,2018,64,49.66
2018-03-06,2018,65,80.27
2018-03-07,2018,66,38.7
2018-03-08,2018,67,32.53
2018-03-09,2018,68,102.2
2018-03-10,2018,69,42.97
2018-03-11,2018,70,58.43
2018-03-12,2018,71,32.03
2018-03-13,2018,72,72.75
2018-03-14,2018,73,39.21
2018-03-15,2018,74,48.4
2018-03-16,2018,75,31.06
2018-03-17,2018,76,33.56
2018-03-18,2018,77,45.13
2018-03-19,2018,78,39.81
2018-03-20,2018,79,34.81
2018-03-21,2018,80,75.74
2018-03-22,2018,81,47.62
2018-03-23,2018,82,118.58
2018-03-24,2018,83,43.89
2018-03-25,2018,84,86.46
2018-03-26,2018,85,36.37
2018-03-27,2018,86,41.86
2018-03-28,2018,87,35.26
2018-03-29,2018,88,37.93
2018-03-30,2018,89,46.79
2018-03-31,2018,90,48.57
2018-04-01,2018,91,52.75
2018-04-02,2018,92,35.9
2018-04-03,2018,93,37.35
2018-04-04,2018,94,30.49
2018-04-05,2018,95,46.2
2018-04-06,2018,96,20.11
2018-04-07,2018,97,33.7
2018-04-08,2018,98,62.7
2018-04-09,2018,99,32.6
2018-04-10,2018,100,73.83
2018-04-11,2018,101,32.19
2018-04-12,2018,102,30.51
2018-04-13,2018,103,113.2
2018-04-14,2018,104,49.77
2018-04-15,2018,105,55.23
2018-04-16,2018,106,101.7
2018-04-17,2018,107,88.72
2018-04-18,2018,108,104.7
2018-04-19,2018,109,104.09
2018-04-20,2018,110,119.18
2018-04-21,2018,111,72.24
2018-04-22,2018,112,36.15
2018-04-23,2018,113,31.13
2018-04-24,2018,114,25.56
2018-04-25,2018,115,37.59
2018-04-26,2018,116,22.46
2018-04-27,2018,117,25.39
2018-04-28,2018,118,38.33
2018-04-29,2018,119,119.86
2018-04-30,2018,120,38.99
2018-05-01,2018,121,84.57
2018-05-02,2018,122,27.63
2018-05-03,2018,123,41.18
2018-05-04,2018,124,103.72
2018-05-05,2018,125,46.52
2018-05-06,2018,126,59.29
2018-05-07,2018,127,43.77
2018-05-08,2018,128,35.52
2018-05-09,2018,129,117.4
2018-05-10,2018,130,104.36
2018-05-11,2018,131,90.87
2018-05-12,2018,132,111.79
2018-05-13,2018,133,41.96
2018-05-14,2018,134,43.64
2018-05-15,2018,135,23.94
2018-05-16,2018,136,37.06
2018-05-17,2018,137,33.4
2018-05-18,2018,138,91.36
2018-05-19,2018,139,45.11
2018-05-20,2018,140,83.47
2018-05-21,2018,141,48.15
